Date,Value
7/30/2015,8893
7/31/2015,0
08-01-2015,0
08-02-2015,0
08-03-2015,0
08-04-2015,0
08-05-2015,0
08-06-2015,0
08-07-2015,2050
08-08-2015,2881
08-09-2015,1329
08-10-2015,2037
08-11-2015,4963
08-12-2015,2036
8/13/2015,2842
8/14/2015,3174
8/15/2015,2284
8/16/2015,2440
8/17/2015,2512
8/18/2015,2494
8/19/2015,3246
8/20/2015,2303
8/21/2015,3919
8/22/2015,3579
8/23/2015,4190
8/24/2015,4432
8/25/2015,4487
8/26/2015,4156
8/27/2015,5590
8/28/2015,4758
8/29/2015,4139
8/30/2015,4572
8/31/2015,5196
09-01-2015,5153
09-02-2015,5195
09-03-2015,4777
09-04-2015,5642
09-05-2015,5519
09-06-2015,5521
09-07-2015,5702
09-08-2015,5622
09-09-2015,5604
09-10-2015,5341
09-11-2015,6460
09-12-2015,5596
9/13/2015,6057
9/14/2015,5572
9/15/2015,5409
9/16/2015,5872
9/17/2015,5368
9/18/2015,5802
9/19/2015,5205
9/20/2015,6402
9/21/2015,6305
9/22/2015,6804
9/23/2015,7404
9/24/2015,6224
9/25/2015,5851
9/26/2015,5907
9/27/2015,5760
9/28/2015,6123
9/29/2015,5738
9/30/2015,5870
10-01-2015,6421
10-02-2015,6063
10-03-2015,6112
10-04-2015,6624
10-05-2015,6279
10-06-2015,6458
10-07-2015,7121
10-08-2015,6926
10-09-2015,6763
10-10-2015,6529
10-11-2015,6023
10-12-2015,6593
10/13/2015,6818
10/14/2015,6830
10/15/2015,6499
10/16/2015,6795
10/17/2015,6567
10/18/2015,6481
10/19/2015,6604
10/20/2015,5897
10/21/2015,6182
10/22/2015,5979
10/23/2015,6888
10/24/2015,6361
10/25/2015,5830
10/26/2015,5938
10/27/2015,6784
10/28/2015,7346
10/29/2015,7836
10/30/2015,7941
10/31/2015,7557
11-01-2015,6915
11-02-2015,6558
11-03-2015,7399
11-04-2015,7037
11-05-2015,7498
11-06-2015,7882
11-07-2015,10996
11-08-2015,12413
11-09-2015,7689
11-10-2015,8151
11-11-2015,10217
11-12-2015,9534
11/13/2015,7891
11/14/2015,7211
11/15/2015,7170
11/16/2015,7442
11/17/2015,7145
11/18/2015,7373
11/19/2015,8876
11/20/2015,6348
11/21/2015,6822
11/22/2015,7083
11/23/2015,8260
11/24/2015,7152
11/25/2015,7098
11/26/2015,7278
11/27/2015,6639
11/28/2015,6817
11/29/2015,6853
11/30/2015,8986
12-01-2015,6794
12-02-2015,6502
